Symbol,Nr_Of_Spikes
CLBR,1
CMP,1
DMYY,2
DOMO,2
EXE,1
FNMA,1
FROG,1
GOGO,1
HCSG,2
HRTG,1
IPI,1
IRTC,1
LTBR,1
NC,1
NEON,1
NXT,1
PODD,1
PRDO,1
PRPO,1
SXT,1
X,1
