Symbol,Nr_Of_Spikes
AMADY,1
CLBR,1
DMYY,2
DNKEY,1
DOMO,2
EXE,1
FNMA,1
HRTG,1
IPI,1
LSBK,1
LTBR,1
NC,1
NEON,1
NPSNY,1
PODD,1
PRDO,1
SSBK,1
SWDBY,1
