Date,Close,RSI
2025-01-08 00:00:00-04:00,23.58,76.57342657342662
2025-01-10 00:00:00-04:00,23.61,76.81660899653983
2025-01-13 00:00:00-04:00,24.05,78.66242038216565
2025-01-14 00:00:00-04:00,24.8,82.50652741514364
2025-01-15 00:00:00-04:00,25.07,91.46666666666665
2025-01-16 00:00:00-04:00,26.63,93.713163064833
2025-01-17 00:00:00-04:00,27.67,94.76268412438625
2025-01-21 00:00:00-04:00,28.3,99.38080495356033
2025-01-22 00:00:00-04:00,28.45,100.0
2025-01-23 00:00:00-04:00,28.58,100.0
2025-01-24 00:00:00-04:00,28.65,100.0
2025-01-27 00:00:00-04:00,28.87,100.0
2025-01-28 00:00:00-04:00,29.56,100.0
2025-01-29 00:00:00-04:00,29.32,96.44444444444447
2025-01-30 00:00:00-04:00,29.74,96.38554216867472
2025-01-31 00:00:00-04:00,28.99,86.54891304347828
2025-02-03 00:00:00-04:00,29.71,87.04188481675394
2025-02-04 00:00:00-04:00,30.55,87.19275549805953
2025-02-05 00:00:00-04:00,30.5,86.15179760319575
2025-02-06 00:00:00-04:00,30.84,83.46581875993641
2025-02-07 00:00:00-04:00,31.48,82.34295415959254
2025-02-10 00:00:00-04:00,31.17,75.76301615798926
2025-02-11 00:00:00-04:00,31.21,75.2747252747253
2025-02-12 00:00:00-04:00,31.8,77.19594594594598
2025-02-13 00:00:00-04:00,32.37,78.97196261682245
2025-02-14 00:00:00-04:00,32.34,77.84911717495996
2025-02-18 00:00:00-04:00,32.66,76.45051194539255
2025-02-19 00:00:00-04:00,33.23,81.58319870759294
2025-02-20 00:00:00-04:00,32.59,72.23088923556953
2025-02-21 00:00:00-04:00,31.59,69.51951951951958
2025-02-24 00:00:00-04:00,31.0,59.87748851454826
2025-02-25 00:00:00-04:00,30.87,52.74914089347081
2025-02-26 00:00:00-04:00,31.61,58.52534562211984
2025-02-27 00:00:00-04:00,31.3,53.5493827160494
2025-02-28 00:00:00-04:00,30.46,42.36526946107782
2025-03-03 00:00:00-04:00,31.43,51.77111716621253
2025-03-04 00:00:00-04:00,31.61,52.67379679144385
2025-03-05 00:00:00-04:00,32.19,52.61044176706826
2025-03-06 00:00:00-04:00,30.11,37.41648106904229
2025-03-07 00:00:00-04:00,29.12,33.802816901408406
2025-03-10 00:00:00-04:00,27.7,27.53623188405797
2025-03-11 00:00:00-04:00,28.33,27.92792792792791
2025-03-12 00:00:00-04:00,28.51,30.82706766917292
2025-03-13 00:00:00-04:00,27.88,31.93768257059395
2025-03-14 00:00:00-04:00,28.74,39.27893738140416
2025-03-17 00:00:00-04:00,30.33,47.749999999999986
2025-03-18 00:00:00-04:00,30.21,43.84885764499121
