Symbol,Annual-Revenue-Increase(%)
ALHC,48.251619023595794
AXGN,17.813749905667496
BROS,32.64100578187903
COMP,15.232343909928353
GH,31.043287679005864
INOD,96.44021895707289
INSM,19.166928782993892
JVA,15.238925138606838
ORGO,11.290344923119546
ROOT,158.57142857142856
TPL,11.752467958106065
WGS,50.79035968523839
