Symbol,RSI_Against_Market_3m
PGR,99.29663758885098
T,97.84334715404607
QFIN,96.48988059451912
RTX,96.29490086354899
LGND,95.92803796022142
DB,95.66163952479194
MYTE,95.57247763593972
AJG,95.4860303141297
SLM,94.69123650720563
JWN,94.67048547854682
NOK,94.47420587595654
FUTU,94.44461290197788
UGL,94.33794395102382
WGS,94.22250957832846
SAN,94.11478808857919
SKWD,94.11379824154834
KAI,94.08880106978202
AXS,94.0733590965205
CHEF,93.85325226122602
VTR,93.72793875296988
ERIC,93.1059330543283
VRNA,92.91782544287346
KT,92.82149684338884
PSO,92.79628568431731
HSBC,92.74789192755469
USAP,92.61690802104363
NFG,92.53147544432414
BMY,92.45188843821629
COOP,92.38298186657225
PPC,92.2946141690433
TGTX,91.8498084734477
ALHC,91.81129283656749
TBRG,91.58363740448924
CDMO,91.49728700198249
ARQT,91.08598328395377
BTI,91.04256339901367
VSEC,91.04099018500887
MO,90.75957882371249
CSCO,90.67831343276175
ROOT,90.45598228449686
HIPO,90.02003252729246
GDX,90.01492519989608
AEM,89.93091801667158
ZIM,89.77520198422349
MD,89.70568959004736
CWAN,89.33414905664019
GDXJ,89.29114795912821
AU,89.27691650746736
USM,88.95726364487231
GB,88.88548792218909
SAP,88.7733802471985
FDP,88.76308484487357
WAT,88.73267027211382
AGI,88.58283717881898
WELL,88.45780549296404
SMAR,88.26440311377164
HALO,88.22779876104025
FSI,88.22055318051996
BRO,88.13102673373736
AON,88.12627869008209
HMY,87.97250867522686
APD,87.85190275057285
INFN,87.69119015834512
RING,87.53533237391788
EWTX,87.22311513290104
WPM,87.16100240755495
EZPW,87.13179007519284
IMAX,87.06155448863257
DESP,87.04123970067712
IBEX,86.93804325240556
PTCT,86.89656524810911
SE,86.80815820107136
CYD,86.75965266300398
LTH,86.33645421557944
PLMR,86.28775199704926
SRAD,86.26391301322332
GFL,86.24997882034938
MITT,86.1910464844572
BJ,86.1811741511442
USAU,86.04467074477381
BLX,86.00911185666796
HWM,85.75354725938355
HURN,85.74984697036781
MUFG,85.5879138337461
GE,85.3470423951288
FPH,84.99217018709146
PAHC,84.90899179305283
MFG,84.50593388883385
ETR,84.47043357089743
UNM,84.39787526125093
NWG,84.13653018258553
EPAC,83.51040351716884
ITCI,83.37166712056919
BCS,83.04069668255406
ESE,82.9132723373765
VEON,82.86120689208775
MOMO,82.72637751021281
GILD,82.62767763907705
KGC,82.60738326221824
HG,82.59565599222123
AAPL,82.49504277539242
EVRI,81.92809404223136
LNC,81.6253140333901
FOX,81.41139688866039
SWIM,81.06074696304351
G,80.58827018302522
BK,79.78993771878403
UGI,79.66614495653334
MPLX,79.45617287878079
DGICA,78.91560885021042
AEE,78.9023323562827
PM,78.19565854752311
ATAT,78.08511906344154
PRA,78.04669057700602
TIGO,77.73821364971647
PAAS,77.18934937410762
MCRI,76.12338976913067
GRMN,76.09424556082416
COMP,75.96968075668593
SKY,75.73609327886258
APEI,75.13751721040894
MWA,75.08128559756113
CDXC,74.974946608187
CNO,74.54788909326551
IBM,74.27202804994363
DOCS,74.1800653927575
SNEX,73.96935255971857
BABA,73.45333068238429
LAUR,73.1372223021321
FOXA,73.1291032292022
NI,73.08287272788286
MLI,73.06251643340958
BABX,72.98086071079787
K,72.87249846230156
IFS,72.71197872665684
FINV,72.60720737814938
FYBR,72.42958710659853
ALDX,72.42743418843591
GENI,72.04973211230974
TMUS,71.72155795561272
ESAB,71.54367244050162
EXEL,71.53037995102403
SATS,71.34735048915235
FXI,71.09812240100717
ORLA,70.69165526849535
ACIW,70.6027419707002
YMM,70.23453058251873
CHKP,70.15423498379468
ITRN,69.92283200811221
MMM,69.63714395998834
FI,69.36872182942707
JVA,69.1382871487848
TPL,68.9885616072447
IDCC,68.8856501009337
SCWX,68.38069879110321
ERJ,68.1773797085918
SSNC,68.16863601954682
GSHD,67.77167321546166
RBA,67.47774653081662
CRMD,67.25285222207322
NLOP,66.83631776337621
PBI,66.79611732030557
HSII,66.26750318885841
SWI,65.84329373102116
AZPN,65.57472860878869
ATEN,64.08706133823262
HCP,62.18911539784848
MTTR,59.33428144705133
ROIC,57.770154684089675
SILV,57.3908840993315
