Symbol,RSI_3M
SPNT,99.71098265895954
SFM,97.67153058056505
T,96.4630225080386
WMT,95.04541701073487
LRN,95.03523382447155
CNL,94.12955465587045
BRBR,93.17627944760355
FCAP,93.14516129032252
ESLT,93.00959747887123
DGICA,92.16216216216219
AXS,91.86560565870909
NGVC,91.71597633136098
PM,91.69159189099368
SLNO,91.54681538009979
BRO,91.32730015082953
SKWD,91.32507149666347
DRI,91.14537444933924
NI,90.8376963350785
ALHC,90.7960199004975
TISI,90.70294784580501
TFPM,90.56047197640126
GFL,90.51724137931049
HMY,90.12658227848101
NYAX,90.10989010989013
AJG,90.0020487604999
COST,89.91039217968101
NUTX,89.59960937499999
VLGEA,89.53771289537713
COOP,88.83169203222917
FNV,88.73786407766994
ASA,88.69257950530039
LARK,88.33034111310594
TMUS,88.14894932014835
CRK,88.0851063829787
PLTR,87.9616724738676
USM,87.76266996291722
KGC,87.54863813229571
HNRG,87.31884057971016
WRB,86.80000000000001
AEM,86.7158671586716
COKE,86.34180420923946
AU,85.78680203045684
NYC,85.71428571428574
TRP,85.64516129032256
CASY,85.46191247974059
SSRM,85.15624999999999
WPM,85.00000000000003
PTGX,84.86042692939247
TIGO,84.59343794579173
BKTI,84.0670859538784
HCI,83.83977900552487
GRND,83.65853658536582
SNEX,83.44030808729141
PLMR,83.26644025933928
BJ,82.96918767507006
PDEX,82.85834031852474
UNB,82.59325044404977
LTH,82.34295415959254
WHG,82.26415094339616
TGTX,82.1791320406279
AGI,82.00000000000001
BNTC,81.06355382619974
CSV,81.06060606060595
UGI,80.44554455445557
MSB,80.42016806722691
RYAN,80.19625334522755
IDR,80.06535947712419
TIPT,79.65517241379314
EAT,79.34481697939097
DRD,79.2834890965732
HURN,79.16666666666666
EQT,79.08777969018936
AEE,79.0655884995507
EZPW,78.90818858560797
WMB,78.58672376873666
SONY,78.50467289719629
CRVL,77.96709753231488
DB,77.32793522267207
MP,77.0663562281723
USGO,77.05627705627705
LINC,77.04485488126659
GEO,77.00760777683853
VIRT,76.58688865764827
SKE,76.37795275590551
WGS,76.14390921163829
KINS,75.80645161290325
NWG,74.99999999999996
BLX,74.91289198606269
LNG,74.86527268807933
BBSI,74.7126436781609
GENI,74.47306791569085
ATGE,74.39363817097413
PEN,74.15062287655724
ATLC,74.118884797475
PAAS,73.96870554765293
PAYC,73.87824399708951
SRAD,73.40720221606652
IDT,73.21016166281765
TARS,72.66962587190868
OLLI,72.17573221757324
AHR,71.92192192192189
MNPR,71.8581008003461
TATT,71.68224299065422
VEON,70.73981712385704
UTI,70.60402684563762
CXW,70.45454545454544
DTM,70.06134969325153
MRCY,69.79969183359015
FEIM,67.1232876712329
APEI,66.72104404567699
ESQ,65.67844925883696
TGS,64.43298969072164
CHWY,63.939899833055115
PAM,60.21732568668882
BBAR,59.33250927070459
