Symbol,IBD_RSI
FNMA,99
LTBR,99
ALMU,99
OPFI,98
HSAI,98
NAGE,98
RNMBY,98
FNMAS,97
FNCH,97
HOOD,97
HRTG,97
NEON,97
JG,97
ORLA,97
XIACY,96
CFSB,96
OPOF,96
PPTA,96
CVNA,96
ATROB,95
GBFH,95
UI,95
KTOS,94
NET,94
TPC,94
DOMO,94
CCRD,94
CIXXF,93
IPI,93
MYTAY,93
NFLX,93
PODD,92
CCHGY,92
BYDDF,92
CLBR,91
LLYVK,91
LBRDK,91
OR,91
NTDOY,91
VRSN,90
VSEC,90
SGAPY,90
PBI,90
PRDO,90
ANGO,89
ZS,89
TLGYF,89
SENEB,89
HKXCY,89
BHKLY,89
ONIT,88
ISBA,88
OSIS,88
MELI,88
LFCBY,88
ISNPY,88
DMYY,88
NFG,88
IBDRY,88
DGICB,88
FJTSY,88
FRFHF,88
EXE,87
CIHKY,87
TTWO,87
NPSNY,87
TXNM,87
DTEGY,87
JBL,87
GILD,86
TELNY,86
RGLD,86
DANOY,86
ALIZY,86
JOYY,86
KBCSY,86
ADRNY,85
DNKEY,85
SSREY,85
BH,85
SWDBY,85
FOX,85
AXAHY,85
UBOH,84
GTPS,84
ADYEY,84
AAMI,84
SIBN,84
SIEGY,84
FDP,84
KT,84
TR,83
HSBC,83
IROQ,83
MCK,83
CAAP,83
PCLB,83
SGI,82
KMI,82
AMADY,82
TCEHY,82
NRDBY,81
SLF,81
BAP,81
SOBKY,81
CVLT,81
NC,81
MT,81
TW,81
ALCO,80
FHI,80
HCMLY,79
LSBK,79
LNSTY,79
DBSDY,79
ADP,78
KRYAY,78
CFRUY,78
CICHY,78
CTAS,78
EADSY,77
BKSC,77
MYFW,77
SSBK,76
KDDIY,74
GCMG,72
SWTX,69
