Symbol,Price_Tightness_1W
NI,2.6025042965872704
AXS,2.810096627884055
AON,3.046038410892194
BRO,3.397517504774037
TMUS,3.7344093910491587
USM,3.955360926684576
GFL,4.086636697997548
LAUR,4.214559386973176
ACNT,4.224270353302603
ETR,4.366762177650433
AEE,4.381192927919168
AJG,4.405474764756199
RBA,4.502814258911822
NWG,4.578904333605891
BCOW,4.671115347950431
T,4.788150189459182
HG,4.937701892016614
CHKP,4.95391705069125
LARK,5.018181818181815
WMB,5.141930251419305
UNM,5.143612546568907
ESLT,5.157477331851594
KEN,5.167173252279634
HALO,5.231388329979883
WELL,5.311308767471419
KGC,5.467235362543622
BTI,5.50545799715235
TDS,5.527638190954764
TIGO,5.5483870967741895
PM,5.8498896247240735
BRBR,5.990663900414943
DRI,6.009478672985785
HURN,6.018302050631233
DGICA,6.190236537493711
SKWD,6.303052194329051
SENEA,6.3804347826087
BLTE,6.528189910979236
LBRDA,6.640449438202244
IGIC,6.708673091178646
EXEL,6.781970649895162
CHTR,6.852739549507751
AHR,6.9281872825055295
EQT,6.950226244343898
IFS,7.211120764552568
DRS,7.318501170960177
CXW,7.356430944470816
ACIW,7.444773004000697
YMM,7.4460163812360385
TRP,7.491010787055533
DB,7.5831305758313095
COKE,7.650964723948181
RYAN,7.737169517884913
SPNT,7.782101167315168
PLMR,7.790220491062125
ALHC,7.801792303637326
CQP,7.921660333235899
BEKE,7.933579335793353
AEM,8.006123919308356
BJ,8.009076392974201
IMAX,8.106143220647038
ACR,8.163265306122453
GSHD,8.167202572347275
HCI,8.210429286278641
WPM,8.33022504040781
AU,8.335490551384948
CPRX,8.42519685039369
GRND,8.479067302596722
UFCS,8.689839572192518
TARS,8.776290630975137
SFM,8.873097723556793
BABA,8.919370055882133
AR,8.933238298883357
PTGX,9.380566000395808
COE,9.463148316651509
PAYC,9.62573867367038
APEI,9.662248824283887
GEO,9.70684039087948
MRCY,9.712782284586712
AGI,9.773060029282583
OLLI,10.028390113560457
TIPT,10.256410256410266
XPEV,10.378228782287822
VLGEA,11.369509043927662
DRD,11.585427135678392
QFIN,11.789946873722918
MP,11.926260346124899
SLNO,12.162162162162163
ASA,12.842852533075177
TGTX,13.130352045670781
CRK,13.308687615526798
IDT,13.681452367583761
EZPW,13.761467889908266
WRB,14.80754124116261
KINS,15.544332210998876
ARQT,16.752725186460125
PDEX,16.91709386600672
HNRG,17.180277349768875
HMY,17.47700394218134
SSRM,18.6411149825784
BNTC,19.045948789898294
XYF,19.774011299435028
JFIN,22.810727496917384
NYC,24.038461538461537
COOP,24.542151162790695
BKTI,33.778074271736706
NUTX,40.330342047080244
