Symbol,Price_Increase_Percentage
ATGL,4884.347826086957
NUTX,1569.471153846154
WGS,1397.4080310880831
KC,1001.980198019802
LX,599.3589743589743
PULM,570.9677419354838
VRNA,518.0860403863038
LNSR,514.2322097378277
TIGR,367.09677419354836
ROOT,353.9365452408931
COE,328.3333333333333
CVKD,324.2592592592592
DUOT,321.2345679012345
TBRG,320.49934296977665
CNL,317.33333333333337
XPEV,314.6564885496183
DAO,313.28671328671334
CDXC,298.2646420824295
INSM,287.3631386861313
XYF,285.632183908046
ALHC,281.1659192825112
TSAT,266.23376623376623
PDEX,254.12953060011887
COMP,253.44827586206895
KGEI,247.01754385964912
BNTC,236.21052631578948
FTK,230.67092651757187
CYD,228.30188679245285
AKRO,226.98768197088467
TGTX,223.66589327146173
HNRG,223.17636195752536
TRVI,221.304347826087
SOC,219.78239366963402
XERS,209.46745562130184
USAU,199.70588235294116
SSRM,189.48717948717945
USGO,189.20000000000002
SKE,186.34146341463418
SE,185.7446808510638
CRK,185.0129198966408
CDTX,184.0863654538185
PBI,182.3076923076923
QFIN,173.08558558558556
LTH,172.6094003241491
MP,169.96007984031937
RDVT,162.31884057971016
ALDX,161.8181818181818
ARIS,161.73633440514473
SPOT,161.49130539306032
GSHD,158.35149593818107
ARQT,153.21888412017165
FUTU,152.66409266409266
ERJ,150.27173913043478
CNTA,146.32258064516128
PTCT,143.351396415173
IDCC,143.33368299590893
FPH,137.10247349823322
ESLT,136.5259555048488
CXW,132.68156424581002
IAG,130.6896551724138
AUPH,126.53927813163482
KGC,126.47058823529412
HWM,123.80573248407647
CENX,122.71929824561403
ATAT,118.92247043363994
VEON,118.31303563373928
BABA,117.12990052662377
AXSM,117.01762595538916
APEI,116.94915254237289
IGIC,116.53666146645867
IBEX,114.07692307692305
LBRDA,112.9319482722069
VICR,112.62135922330098
GENI,110.59063136456211
BEKE,108.73397435897436
YMM,107.95795795795794
ACR,107.62489044697634
USM,107.309766327142
NWG,105.35714285714286
MAG,104.36241610738254
PAAS,103.33086602516654
TCOM,101.88333769291135
AGI,101.76110260336905
SNEX,100.26550054661875
AEM,99.70381340244352
LOGC,99.57264957264958
EXEL,98.70903674280041
ASA,98.62542955326458
JD,98.17654372150851
MRCY,97.39327540612015
SSSS,94.31818181818181
DRD,94.01062416998671
MWA,90.95205941931128
BAFN,89.90384615384615
EQT,88.74083944037308
ITRN,88.34991708126036
G,87.76050281177638
ERIC,86.58280922431868
PLMR,84.775273316237
NTNX,84.52133794694346
