Symbol,Min_Market_RSI_Diff_3M
CNP,1.6189417659306216
SNEX,1.6036054015126169
HWM,0.9057902667191513
PEN,-0.005036098264639577
AHR,-0.04735069867591335
BBIO,-1.9645944823452552
GRND,-2.1379945657241706
RBA,-2.8159523838964375
CAE,-2.9345751640668496
NWG,-3.317967147834935
CRS,-4.0991168335000765
RDVT,-4.146376703606464
CAH,-4.274274478174718
WMB,-4.3434511637926505
NRG,-4.675609738939201
CXW,-4.775523296165851
BK,-5.128968209009855
LPLA,-5.24599771458584
GFL,-5.407182116208681
BBUC,-5.670647118846823
DB,-5.842304913294782
UVE,-6.090734147023518
PM,-6.181061855680788
SONY,-6.205485101737381
ESE,-6.356100848547719
DASH,-6.405889328481251
SAP,-6.654437262714389
TPL,-6.964644202018263
PAYC,-7.055670199949596
DRI,-7.1483815574631535
BHF,-7.5043292935554575
AXS,-7.625114934984083
DAVE,-7.6753169064558335
ODD,-7.89669368204585
LAUR,-8.329676235486815
BKTI,-8.374262372660908
UNM,-8.382680089825477
SLM,-8.621898094290685
LNG,-8.675756274231532
CAKE,-8.765396243334727
UTI,-9.281676583559445
BCS,-9.332584943258752
LARK,-9.456651197855173
WELL,-9.894177877179928
ETR,-10.405274807296593
SPNT,-10.528131375118406
NIC,-10.612593277960691
UGI,-11.025967029448196
MSB,-11.115466435864
DGICA,-11.138383274643957
IBM,-11.362701742410032
ACNT,-11.404848136914374
HNRG,-11.466889928938286
UFCS,-11.59100526545673
SPOT,-11.737888557319195
GPOR,-11.916271437538498
EQT,-12.099941148932494
LBRDA,-12.258329408818419
DRVN,-12.287764506011229
MWA,-12.350180067930836
IFS,-12.383587291518438
FRHC,-12.43751826104446
SE,-12.525855495541826
CSV,-12.57857542797153
DE,-12.703151255741318
NI,-12.88811982879372
XYF,-12.995720348951096
FTNT,-13.034307408820219
SRAD,-13.040073164414522
CRK,-13.084097755209292
T,-13.211089768319539
WHG,-13.277453004784455
FARO,-13.328949983541982
NGVC,-13.586787607688947
TIGO,-13.83126185662806
NATH,-13.893901311183974
CHTR,-13.902120661819879
SMMT,-13.945085696428158
LINC,-13.966665414384352
SKWD,-13.994693781699347
LQDT,-14.208257129708045
AEE,-14.343525086586332
FBIZ,-14.387485559368812
MASI,-14.455568869623868
BBAR,-14.582641339613424
LLYVA,-14.681775990621801
SENEA,-14.765513772258487
DXPE,-14.777688426245874
CVCO,-14.836917967784814
LTH,-14.878052666066026
SFM,-14.988831658510541
BRBR,-14.994033744676734
NTNX,-15.083391223291677
CRWD,-15.30152222050171
IDT,-15.352785470990817
LOMA,-15.426994638531433
EXEL,-15.54352003398607
ARQT,-15.640948198177945
VEON,-15.818262266326883
GEO,-15.896919634427213
GNTY,-16.50430521496046
ROOT,-16.515771072614
QFIN,-16.663465941295
RBKB,-16.992110686332083
EXLS,-17.08001600838557
CEE,-17.274347027712466
MRCY,-17.452050228321212
TPR,-17.538793600797106
CPBI,-17.616929891169704
EBTC,-17.62498611251131
JFIN,-17.81429577137456
ATLC,-17.956597282359994
MP,-17.98893805403319
IGIC,-18.004045357276112
CYBR,-18.011271343644168
GENI,-18.15621126039749
CBNK,-18.33287588827136
TRP,-18.535898018821847
REVG,-18.560436735780485
GAMB,-18.630434501809262
PLMR,-18.637466863072405
KINS,-18.768456158356678
ESLT,-19.059698469003806
HCI,-19.12590856869153
IBEX,-19.278872163876542
DRS,-19.423726813627304
ATGE,-19.4454721135097
EZPW,-19.584074987103065
FRAF,-19.657685190916226
APEI,-19.797883020355954
FEIM,-19.990005163705533
VRNA,-20.045060202854337
THFF,-20.291439737216024
SNOW,-20.365473671795222
IDCC,-20.368455141040734
GWRE,-20.40646668880042
SLNO,-20.576966796654567
TKO,-20.672162271440058
PLTR,-20.72225371286116
LRN,-20.73381526345114
OCS,-20.759196899097425
FCAP,-21.071590336240554
BJ,-21.249056306286043
SKE,-21.271561086888063
WMT,-21.594793247978707
FNV,-21.799366684704616
ESQ,-21.982741872642357
RELY,-22.140082673629585
PHR,-22.252052240504952
IMAX,-22.302409869462075
ELLO,-22.339996527374304
VIRT,-22.598446607258303
IIIV,-22.62566407843417
TISI,-22.6970561910624
URBN,-22.88218070922015
ASA,-22.993476706668766
FFIV,-23.28554106356934
TATT,-23.523358119141015
VLGEA,-23.52505122888671
WPM,-23.917196485433934
KGC,-23.928809396546306
CHWY,-24.11092191178131
BNTC,-25.0344567974906
NYAX,-25.189851392363153
CHEF,-25.30663615498004
TPB,-25.318868488034383
CPRX,-25.458432848333352
TFPM,-25.477820124277045
BUJA,-25.498114077702766
MNPR,-26.393578827640276
ADMA,-26.845379235279786
AU,-26.871265477238786
ETON,-27.122536379656843
SRBK,-27.435734908974638
RBLX,-27.722178492360733
CDTX,-28.186202039598946
BCOW,-28.54849846307701
PLNT,-28.63609809496412
TGTX,-28.800923690824156
ALKS,-29.136845866917326
NUTX,-29.29173083564831
QURE,-29.59552382752961
AKRO,-29.9065061015868
OLLI,-30.97783636835858
COOP,-31.191222513653386
IDR,-31.51393135741855
AEM,-31.772600345067218
HURN,-32.270411345625874
COE,-34.081474285762866
HMY,-36.73334007581306
