Symbol
ACHR
AEVA
AHR
ALKS
APEI
APG
APH
AR
AS
ASND
ASTE
ATEC
ATGE
ATO
ATRO
AU
AXON
AXS
BA
BBAR
BBUC
BBVA
BCOW
BCRX
BCS
BFC
BHAC
BHF
BJ
BK
BKTI
BLX
BRDG
BROS
BSET
BWFG
CAE
CAH
CAKE
CASY
CBNK
CCB
CCEC
CDTX
CEE
CHCI
CHEF
CHTR
CHWY
CME
CNP
COE
COOP
CPBI
CPRX
CPS
CRK
CRS
CRWD
CSGS
CSV
CVCO
CXW
CYBR
DAN
DASH
DAVE
DB
DBVT
DCTH
DE
DGICA
DRI
DRS
DRVN
DUOL
DXPE
EAT
EQH
EQT
ERJ
ESE
ESLT
ESQ
ETON
ETR
EVRI
EXEL
EYE
FARO
FCAP
FEIM
FFIV
FMS
FORTY
FOXA
FRAF
FRHC
FTK
FTNT
FUTU
FYBR
GBNY
GE
GEV
GFL
GNTY
GPOR
GRND
GRPN
GTX
GWRE
HCI
HCSG
HEES
HIMS
HNRG
HURN
HWM
IBEX
IBM
IDCC
IDT
IFS
IIIV
IMAX
ITRN
JCI
JFIN
JUNE
KEN
KGC
KINS
LARK
LAUR
LBRDA
LFMD
LI
LINC
LLYVA
LNG
LOAR
LOPE
LPLA
LQDA
LRN
MAG
MGIC
MLYS
MMM
MPAA
MRNO
MRX
MSTR
MT
MTEN
MUFG
NATH
NGVC
NIC
NPCE
NRG
NTES
NTNX
NUTX
NWG
NYAX
ODC
ODD
OKTA
OLLI
OMAB
OVBC
PAC
PAYC
PCRX
PEN
PERI
PHR
PLMR
PLNT
PLTR
PLYA
PM
PRA
PSO
PUK
QBTS
QFIN
QURE
RBA
RBKB
RBLX
RBRK
RDUS
RDVT
REVG
RRC
RYTM
SAP
SDGR
SE
SENEA
SEZL
SFM
SKE
SKWD
SLM
SLNO
SNEX
SONY
SPNT
SPOT
SPRY
SRAD
SRBK
SSRM
SSYS
T
TATT
TGI
THFF
TIGO
TISI
TITN
TKO
TLN
TPB
TPL
TPR
TRP
UFCS
UGI
ULS
UNB
UNFI
UNM
URBN
USAU
UTI
UVE
VEEV
VEON
VIPS
VIRT
VLGEA
VRNA
WELL
WILC
WLDN
WMB
WPM
WRLD
XPEV
XYF
YMM
