Symbol,Min_Market_RSI_Diff_3M
EPWK,-0.09779980659461529
KRMN,-6.628823217471471
SMA,-10.600530136611816
ZYBT,-12.82022206076477
SFD,-12.998635555865306
CON,-13.841328447414952
CBNA,-16.06160600691768
GRDN,-17.22811386006817
PHH,-18.732876367352297
TTAM,-19.678776470180807
LTM,-20.42108565559942
QSEAU,-21.312060318805052
NPB,-21.879745908324693
MTSR,-22.111515620281963
INGM,-24.39184499519756
SKBL,-25.134191441421194
SARO,-25.157835570323165
KMTS,-28.073235426466148
TTAN,-28.507792651247676
ACTU,-30.74520034440321
NTCL,-35.676901831016245
