Symbol,IBD_RSI
AAGR,99
SATX,99
SEZL,99
SBET,99
SNYR,99
IONQ,99
GGAAF,99
ASST,99
VVPR,99
SPEC,99
ROMA,99
ATTOF,99
RGC,99
DAVE,99
ELIQQ,99
QUBT,99
ATGL,99
DRUG,99
QBTS,99
RGTI,99
RGLS,99
MNPR,99
NCL,99
CURI,99
LAES,99
APTOF,99
TGEN,99
TIOG,99
TMC,99
OKLO,99
TDUP,99
HALL,99
OCG,99
CTM,99
EFTR,99
AREN,99
BSGM,99
PRCH,99
AEVA,99
TMPOQ,99
MVST,99
MGAM,99
UAMY,99
FNMA,99
SHWZ,99
AZ,99
ALMU,99
NUTX,99
TOI,99
TTCFQ,99
LTBR,99
NUKK,99
SVT,98
ARQQ,98
RKLB,98
SEVCF,98
YOSH,98
ASPU,98
PSIX,98
STIM,98
ELPW,98
ASM,98
EOSE,98
SMMT,98
SATL,98
SALM,98
WTER,98
RR,98
RPID,98
SMR,98
KULR,98
VIGL,98
AGFY,98
OPGN,98
APP,98
PDYN,98
AGAE,98
PNBK,98
BROG,98
PLTR,98
BTM,98
FTK,98
GROM,98
GRPN,98
GRRR,98
GRYP,98
TSSI,98
CNL,98
MSGM,98
ETON,98
NAK,98
NNE,98
NVTS,98
TNXP,98
TZUP,98
CPIX,98
MINM,98
ALTS,98
FMCC,98
LTRY,98
IMNN,98
XCUR,98
AAUAF,98
DEFT,97
JUNE,97
MTEN,97
HRTG,97
DUOT,97
FNGR,97
SMTSF,97
CNVS,97
HNRG,97
FNCH,97
MATH,97
UPXI,97
NAGE,97
LNSR,97
HIMS,97
HOOD,97
CORBF,97
MBOT,97
COMM,97
ALLT,97
SIEB,97
SNWV,97
SLSN,97
ACHR,97
CTMX,97
LEU,97
OPFI,97
ORLA,97
AGX,97
RBRK,97
QURE,97
QMCO,97
RCAT,97
ODTC,97
LIVE,97
PULM,97
PRTG,97
VGZ,97
LFMD,97
DTEAF,97
NWTN,97
AMPG,97
NEON,97
AMPE,97
OILCF,97
KLDO,97
OPTT,97
OPRX,97
ICAD,97
IDN,97
XGN,97
CRVO,96
FNMAS,96
INZY,96
GEV,96
DUOL,96
DBGI,96
AKBA,96
TRVI,96
DOMH,96
EVLV,96
SPCB,96
ROOT,96
CRNC,96
CPSH,96
UMAC,96
LMB,96
SLNAF,96
BTDR,96
OST,96
ESGL,96
FUBO,96
PRE,96
OPOF,96
THTX,96
VUZI,96
HTZ,96
BBAI,96
CFSB,96
QNTM,96
RDW,96
ELTP,96
BKTI,96
RDUS,96
SURG,96
PPTA,96
AONC,96
SERV,96
FARO,96
LEDS,96
ARDS,96
GVH,96
RBLX,96
AS,96
VSTM,96
ASTS,96
ASPI,96
BOWN,96
GORO,96
ABVC,96
RGS,96
FOA,96
AMLX,95
ZVIA,95
SEI,95
GBFH,95
XERS,95
AXON,95
CRK,95
ADPT,95
DOUG,95
DERM,95
MSTR,95
CMP,95
HLGN,95
URBN,95
BTCS,95
AERG,95
KINS,95
CVNA,95
PMEC,95
CBWTF,95
APPS,95
UTI,95
NRG,95
SOUN,95
UI,95
MASS,95
ATROB,95
SJT,95
SGHC,95
USAS,95
CRDO,95
SOC,95
CORT,95
ITRG,95
CRMD,95
IRRX,95
ADUR,95
FORD,95
CKPT,95
TMQ,95
CHWY,95
NBIS,95
NEPH,95
EAT,95
SSRM,95
GRND,95
NGD,95
ODD,95
RBCN,95
SRRK,95
RDVT,95
MRX,94
FEIM,94
DOMO,94
IHS,94
LRN,94
MPAA,94
WGS,94
KGEI,94
UNFI,94
DATS,94
COEP,94
SNT,94
ATOM,94
USAU,94
SKE,94
ATRO,94
EYE,94
AHR,94
NET,94
ESP,94
SRAD,94
NVFY,94
QTIH,94
RAY,94
ESLT,94
DCTH,94
IRTC,94
ATGE,94
CLS,94
NGVC,94
NHIQ,94
AMPX,94
NTGR,94
TPC,94
LINC,94
BYRN,94
PLMR,94
PLBY,94
TISI,94
HWM,94
ARMN,94
AP,94
APEI,94
EXOD,94
VRAR,94
KTOS,94
PDEX,94
CCRD,94
THM,94
TATT,94
SLNO,94
XMTR,93
III,93
SLS,93
PGY,93
PAY,93
TBRG,93
EGRX,93
ZTEK,93
DRS,93
TPB,93
TLN,93
PSNL,93
FTEK,93
CDTX,93
VZLA,93
WLDN,93
STRL,93
OPRT,93
KGC,93
KFS,93
OLO,93
OKYO,93
TIL,93
BROS,93
PRA,93
BTSG,93
MLYS,93
MIR,93
RKDA,93
ROAD,93
LUNR,93
