2025-03-07 02:02:16,054 - INFO - Starting master stock screening pipeline manager.
2025-03-07 02:02:16,056 - INFO - Running all pipelines in parallel...
2025-03-07 02:02:16,056 - INFO - Running pipeline: C:\Users\Victus\PycharmProjects\Stocks_Screener_V2\flask_microservice_stocks_filterer\stocks_filtering_application\minervini_1mo\stock_screening_pipeline.py
2025-03-07 02:02:16,057 - INFO - Running C:\Users\Victus\PycharmProjects\Stocks_Screener_V2\flask_microservice_stocks_filterer\stocks_filtering_application\minervini_1mo\stock_screening_pipeline.py in C:\Users\Victus\PycharmProjects\Stocks_Screener_V2\flask_microservice_stocks_filterer\stocks_filtering_application\minervini_1mo
2025-03-07 02:02:16,057 - INFO - Running pipeline: C:\Users\Victus\PycharmProjects\Stocks_Screener_V2\flask_microservice_stocks_filterer\stocks_filtering_application\minervini_4mo\stock_screening_pipeline.py
2025-03-07 02:02:16,058 - INFO - Running pipeline: C:\Users\Victus\PycharmProjects\Stocks_Screener_V2\flask_microservice_stocks_filterer\stocks_filtering_application\ipos\stock_screening_pipeline.py
2025-03-07 02:02:16,058 - INFO - Running C:\Users\Victus\PycharmProjects\Stocks_Screener_V2\flask_microservice_stocks_filterer\stocks_filtering_application\minervini_4mo\stock_screening_pipeline.py in C:\Users\Victus\PycharmProjects\Stocks_Screener_V2\flask_microservice_stocks_filterer\stocks_filtering_application\minervini_4mo
2025-03-07 02:02:16,059 - INFO - Running C:\Users\Victus\PycharmProjects\Stocks_Screener_V2\flask_microservice_stocks_filterer\stocks_filtering_application\ipos\stock_screening_pipeline.py in C:\Users\Victus\PycharmProjects\Stocks_Screener_V2\flask_microservice_stocks_filterer\stocks_filtering_application\ipos
2025-03-07 02:02:16,108 - INFO - [stock_screening_pipeline.py] 2025-03-07 02:02:16,108 - INFO - Deleting: above_52week_low.csv
2025-03-07 02:02:16,108 - INFO - [stock_screening_pipeline.py] 2025-03-07 02:02:16,108 - INFO - Deleting: close_to_52week_high.csv
2025-03-07 02:02:16,109 - INFO - [stock_screening_pipeline.py] 2025-03-07 02:02:16,109 - INFO - Deleting: minimum_price_increase.csv
2025-03-07 02:02:16,110 - INFO - [stock_screening_pipeline.py] 2025-03-07 02:02:16,109 - INFO - Deleting: minimum_volume_100k.csv
2025-03-07 02:02:16,111 - INFO - [stock_screening_pipeline.py] 2025-03-07 02:02:16,111 - INFO - Deleting: obligatory_passed_stocks.csv
2025-03-07 02:02:16,111 - INFO - [stock_screening_pipeline.py] 2025-03-07 02:02:16,111 - INFO - Deleting: trending_up_stocks.csv
2025-03-07 02:02:20,564 - INFO - [stock_screening_pipeline.py] 2025-03-07 02:02:20,564 - INFO - [minimum_price_increase.py] Error processing row 328597: could not convert string to float: ''
2025-03-07 02:02:20,796 - INFO - [stock_screening_pipeline.py] 2025-03-07 02:02:20,796 - INFO - [minimum_price_increase.py] Error processing row 328597: could not convert string to float: ''
2025-03-07 02:02:43,859 - INFO - [stock_screening_pipeline.py] 2025-03-07 02:02:43,859 - INFO - [trending_up.py] Trending up analysis complete. Saved 1376 symbols to ./obligatory_screens/results/trending_up_stocks.csv
2025-03-07 02:02:44,262 - INFO - [stock_screening_pipeline.py] 2025-03-07 02:02:44,262 - INFO - [trending_up.py] Trending up analysis complete. Saved 1534 symbols to ./obligatory_screens/results/trending_up_stocks.csv
2025-03-07 02:02:49,296 - INFO - [stock_screening_pipeline.py] 2025-03-07 02:02:49,296 - INFO - [minimum_price_increase.py] Error processing row 1572175: could not convert string to float: ''
2025-03-07 02:02:50,311 - INFO - [stock_screening_pipeline.py] 2025-03-07 02:02:50,311 - INFO - [minimum_price_increase.py] Error processing row 1572175: could not convert string to float: ''
2025-03-07 02:03:04,189 - INFO - [stock_screening_pipeline.py] 2025-03-07 02:03:04,189 - INFO - [minimum_volume_100k.py] Min Volume Processing complete. 5573 stocks met the criteria.
2025-03-07 02:03:04,639 - INFO - [stock_screening_pipeline.py] 2025-03-07 02:03:04,639 - INFO - [minimum_volume_100k.py] Min Volume Processing complete. 5573 stocks met the criteria.
2025-03-07 02:03:04,831 - INFO - [stock_screening_pipeline.py] 2025-03-07 02:03:04,831 - INFO - [minimum_volume_100k.py] Min Volume Processing complete. 5573 stocks met the criteria.
2025-03-07 02:03:07,007 - INFO - [stock_screening_pipeline.py] 2025-03-07 02:03:07,006 - INFO - [close_to_52week_high.py] Close to 52-week high analysis complete. 7031 stocks meeting the criteria have been saved to ./obligatory_screens/results/close_to_52week_high.csv.
2025-03-07 02:03:07,007 - INFO - [stock_screening_pipeline.py] 2025-03-07 02:03:07,006 - INFO - [close_to_52week_high.py] Skipped 2 rows due to missing or invalid data.
2025-03-07 02:03:07,040 - INFO - [stock_screening_pipeline.py] 2025-03-07 02:03:07,039 - INFO - [trading_for_at_most_3mo.py] Stocks trading for at most 3 months analysis complete. 438 stocks meeting the criteria have been saved to ./obligatory_screens/results/filtered_recent_stocks.csv.
