Symbol,RSI
AAAU,72.50790877711256
AACT,71.44859091613675
ACB,74.40228090612808
ACCD,83.03095589212734
ACHL,78.79124935229737
ACMR,73.1736286536728
AE,70.96279457492341
AEM,75.1270987135998
AFJKU,78.28711755811003
AFRM,71.99168940967533
AFTY,74.33839792854843
AGI,72.02226803743599
AGNC,70.73856044557246
AGS,72.1984498492396
AHOY,99.96923208474692
AJG,76.30766121579919
AKRO,74.8928799775966
ALK,71.48451727983814
ALLT,73.07841302899233
ALSAU,96.00730081654098
AOMR,70.94817717813427
APPS,86.20582331728423
APRH,71.13555408741388
ARCM,91.70816238725197
ASA,82.82864859653611
ASCB,97.29682488933882
ATMC,79.31560923421938
ATRO,78.51221618986477
ATXG,77.74802910376162
AU,73.48236313347157
AUDC,72.94165228467374
AUMI,72.85011194166083
AWF,72.0754049462339
AXIL,74.69296986806295
AXON,72.58106369711108
AY,77.49446188394217
AZPN,81.99034844353983
AZZ,70.06371601827155
B,79.40299924778428
BABA,70.20023947011167
BAFN,75.53879420085923
BAR,72.87473243719795
BAYA,73.0803676886668
BB,80.34464488177093
BBAI,79.78671780316402
BBLGW,78.42220844514989
BCH,75.87822652052587
BCOV,78.07951972752448
BGLD,77.97998354684282
BHF,70.09307125637011
BIL,99.9308429284804
BILS,98.6268775111101
BILZ,95.31899538906475
BKHAU,78.50969167571724
BKUI,87.75347656106057
BLEUU,100.0
BLRX,83.35455741056467
BMTX,72.46837056911811
BNGE,71.19605527729134
BOF,73.00568424482464
BOXX,97.94104995373004
BRAG,77.93109952072297
BROS,71.63340885864527
BSAC,76.31150102907662
BSCO,98.39023366085313
BSCP,77.26502015146205
BSJO,80.12666588946871
BSJP,75.91636037454951
BSX,81.42290671044081
BTI,82.5676996744851
BTZ,71.2619538830943
BUCK,78.14372531039689
BUJA,71.38104951752645
BUJAU,87.06021583812912
CCTSU,82.14442364944647
CDZIP,72.05708892103655
CELZ,77.05637447168303
CFFSU,100.0
CFSB,74.18682145725954
CGAU,71.13046404591381
CGEN,73.37399289885431
CGNT,71.09206876085139
CHH,70.38152162907802
CHMI,72.1110835545262
CIA,70.26067732752026
CIB,71.52735476302564
CINT,73.52900419304773
CLIP,90.1437809573021
CLOA,90.03480000767485
CLOI,85.03600299328727
CLOX,78.26712182134554
CLOZ,98.8338064676207
CLRC,75.95970330051664
CLRCU,93.37086981438293
CLSD,73.08463703322862
CMBM,72.10252194972092
CMPX,71.74423369796448
CNL,79.7855362861459
CNO,70.27899661683173
CNOB,73.15498756016234
COE,84.93169714652286
COST,76.40470004157159
CPER,74.08685801118881
CRDT,72.33088003574467
CRTO,73.49970127892495
CRWD,71.40047889579296
CSGS,83.03533946418563
CSHI,80.13322549208836
CSHP,83.97861252750528
CTLP,71.11485701692087
CTLT,74.48173351259703
CTSH,75.4713824741502
CUB,74.3092378588121
CURI,72.47394667953569
CVNA,71.33632598545015
CVSB,71.73020462990695
CX,70.66218497936019
CYBR,76.44722055269948
CYTH,78.37983248619177
DADA,71.08154233431894
DAN,71.81774629100752
DASH,74.98542534840357
DBEZ,70.50377946409657
DC,85.13311965884644
DCRE,73.2648194450241
DECAU,99.97925683775512
DGP,70.74091882063074
DHX,73.7784536970287
DMB,70.28684369844963
DOCN,75.38463243477902
DOCS,86.25312502632065
DOMH,70.372374969946
DPCSU,99.34111946072701
DSP,78.54620896226668
DUOL,71.96846348031428
DUSB,85.04619209093615
DX,71.94020547546297
DYCQ,74.33728815413059
DYCQU,79.64503541392968
ECH,76.5352845288575
EH,78.30239440699633
EM,79.88385495943547
EMCGU,99.1721622451275
EMNT,88.79388704417904
EMTL,70.99117359787982
ENIC,72.06436519843132
ESE,79.0006517003734
ETNB,75.08619135461564
EURKU,84.91962485065471
EUSC,72.54151684480982
EVGRU,72.8283225789943
EVSB,79.7324936040261
EXLS,70.44326876315397
EXPE,72.18690777067339
EZPW,73.72330798657975
FARM,70.48772322088169
FBIZ,74.01957868108468
FBL,79.93807399301569
FBY,77.73029273018255
FDUS,70.60391544411235
FEDL,82.4493773454434
FFIV,75.25713617873947
FGDL,73.03697897351174
FI,73.725040318288
FINV,74.16261857106714
FINW,71.85318868576176
FLDB,87.76719886166303
FLDR,80.63470940627715
FLIC,72.86441994593791
FLOT,89.08150575886734
FLRN,90.41233290923964
FLRT,70.04343697020428
FLTR,78.66821411265283
FNA,78.15952699395771
FNV,75.8982893605239
FNVTU,95.88622235915861
FORLU,99.99983629074299
FRAF,80.33741891145789
FRHC,80.054383761665
