Symbol,Date,Total Assets,Total Liabilities,Total Equity,Total Revenue,Gross Profit,Operating Income,Net Income,Net profit margin,EPS
ALKS,2024-06-30,2206842000.0,922837000.0,1284005000.0,399131000.0,337659000.0,109883000.0,91358000.0,0.22889226845321461,0.53
ALKS,2024-03-31,2123896000.0,869133000.0,1254763000.0,350372000.0,291728000.0,43309000.0,36828000.0,0.10511113901795806,0.21
ALKS,2023-12-31,2136223000.0,933537000.0,1202686000.0,377475000.0,307382000.0,178575000.0,112779000.0,0.29877210411285515,0.66
ALKS,2023-09-30,,,,,,,,,0.28
ALKS,2023-06-30,,,,,,,,,
ALTM,2024-12-31,10190100000.0,3009300000.0,7180800000.0,289000000.0,45600000.0,11300000.0,-14200000.0,-0.04913494809688582,-0.01
ALTM,2024-09-30,10004600000.0,2870700000.0,7133900000.0,203100000.0,56200000.0,15300000.0,16100000.0,0.0792712949286066,0.01
ALTM,2024-06-30,9930300000.0,2840700000.0,7089600000.0,254500000.0,80400000.0,63400000.0,85700000.0,0.3367387033398821,0.07
ALTM,2024-03-31,9793300000.0,2831000000.0,6962300000.0,261200000.0,144400000.0,103400000.0,15600000.0,0.05972434915773354,0.01
ALTM,2023-12-31,3230100000.0,946300000.0,2283800000.0,181800000.0,43400000.0,24800000.0,37700000.0,0.20737073707370737,
ALTM,2023-09-30,,,,,,,,,0.17
ALTM,2023-06-30,,,,,,,,,
AMPL,2024-12-31,445911000.0,149355000.0,296556000.0,78131000.0,58325000.0,-35505000.0,-32590000.0,-0.41711996518667366,
AMPL,2024-09-30,445642000.0,155615000.0,290027000.0,75217000.0,56473000.0,-20013000.0,-16854000.0,-0.2240716859220655,-0.14
AMPL,2024-06-30,445400000.0,158073000.0,287327000.0,73300000.0,53815000.0,-27160000.0,-23415000.0,-0.3194406548431105,-0.19
AMPL,2024-03-31,437911000.0,148701000.0,289210000.0,72624000.0,53735000.0,-24705000.0,-21460000.0,-0.29549460233531616,-0.18
AMPL,2023-12-31,433684000.0,138931000.0,294753000.0,71403000.0,53138000.0,-21589000.0,-18543000.0,-0.25969497079954623,
AMPL,2023-09-30,,,,,,,,,-0.15
AMPL,2023-06-30,,,,,,,,,-0.24
AON,2024-12-31,48965000000.0,42535000000.0,6430000000.0,4147000000.0,2027000000.0,1147000000.0,716000000.0,0.17265493127562093,
AON,2024-09-30,49885000000.0,43332000000.0,6553000000.0,3721000000.0,1571000000.0,678000000.0,343000000.0,0.09217952163396936,1.57
