Symbol,Annual-Revenue-Increase(%)
ALHC,48.251619023595794
AXGN,17.813749905667496
BROS,32.64100578187903
COMP,15.232343909928353
CORT,39.940917336097435
GH,31.043287679005864
TPL,11.752467958106065
