Symbol,Qrt-EPS-Increase-(%)
AENT,110.84656084656085
AGR,135.95559375899185
AGYS,462.4137759170654
ALK,24.412419938735727
ALLT,23.933531746031754
ALTR,146.36904761904762
AORT,52.638888888888886
APEI,72.75132275132275
APO,56.63140316578345
ARES,45.81219168428471
AS,293.5195555858742
ATEN,37.900641025641036
ATGE,104.59322653792701
AUPH,256.0019841269841
AWX,189.5344202898551
AXON,29.03981208823612
AXS,27.889243069292732
BBAR,38.131195888184294
BBSI,3099.756481927281
BBW,35.14174873630046
BCOW,35.85858585858586
BFH,34.83639654692284
BKNG,82.77647850535816
BKTI,205.6091538174405
BMA,239.7510144187089
BN,374.31240495391705
BNT,56.51595600796779
BNTC,40.68437271556024
BOSC,26.51404151404151
BRBR,20.178529480855065
BROS,103.27380952380953
BSVN,206.2292202710554
BURL,34.56064006713072
BYRN,3030.506501603471
CALM,803.0476190476189
CANG,25.64327485380117
CBL,414.7424427912233
CCL,352.7782948622486
CCRD,137.1969696969697
CEPU,306.13512389680125
CHEF,161.2624466571835
CHWY,70.57598039215686
CLMB,39.24860646599776
CMMB,30.443630443630443
CNDT,600.3477381479438
COCO,23.455710955710956
COE,28.354340333286995
COHN,156.24078512453366
CRNT,483.16551407906496
CSV,39.09722222222222
CUK,352.7782948622486
CVU,206.69191919191917
CXW,37.67849531116794
DECK,53.96079959567064
DESP,22.199675324675322
DFS,30.329680903429804
DJCO,614.3710744968189
DLNG,170.37008281573497
DOCU,707.188194959229
DSP,777.4654217883376
EAT,98.4041932375787
ECOR,25.690586369428846
EDN,367.09230051348777
EE,30.87881383935656
ELMD,187.56449948400413
EMR,84.10146456759381
ENB,93.0252583237658
EPSN,39.285714285714285
EQH,28.637513319534854
ESLT,25.69205277090483
ESP,23.89730639730639
ET,33.489181145431154
ETR,280.25702244987605
EVBN,32.295397177553035
EXFY,42.757936507936506
EXPE,46.81883407625719
FEIM,653.4464285714286
FISI,302.98252332063805
FLEX,22.571157495256166
FMS,30.97611350574713
FNKO,34.23276544244286
FOA,679.6366499936685
FOUR,25.499749601529356
FOX,118.67452515384646
FOXA,136.77014177887486
FRHC,53.28452072925313
FRPT,279.47834931705904
FSEA,52.46031746031744
FTI,55.41666666666667
FTK,24.940476190476193
FVRR,59.52380952380952
FWONA,72.10580831769856
FWONK,72.10580831769856
GAMB,318.1174089068826
GAN,90.634829375929
GATX,24.57037454702054
GB,677.9186565769804
GDDY,171.11724494609592
GDYN,188.75
GGAL,62.76301792213775
GHM,146.52777777777774
GLAD,50.00280250747642
GME,166.66666666666666
GMED,369.94071146245057
GRMN,25.73504945885066
GS,20.84579179633745
HCP,28.755656108597286
HG,39.70862186681974
HIPO,38.37216128515318
HITI,1141.8444836798578
HNNA,20.55555555555556
HNVR,67.61419340463459
HOOD,157.7380952380952
HRTG,106.40834501404935
HSBC,24.58492975734356
HSII,59.59306492650901
HTCR,127.33585858585859
HURN,133.26692514986522
IBEX,23.820313458471354
ICCH,177.90901170027385
IDCC,60.10297891391445
IMAX,65.508658008658
INOD,26378.255627147762
IROQ,44.552669552669556
JEF,44.56227142110763
JVA,833.8388355985363
JWN,77.0579268292683
K,204.6153846153846
KAR,875.2118532446375
KEN,194.50401166791877
KGS,24.977106227106205
KINS,95.81115206115207
KLTR,20.634920634920633
KNTK,232.84936196700903
KTOS,147.5
KULR,27.916666666666668
KVYO,62.983870967741936
LFVN,25.256410256410252
LINC,189.93506493506493
LOGC,50.26863776729695
LOMA,24.77313982545458
LOPE,21.922026179467423
LQDT,102.77777777777779
LRN,293.38429825125365
LX,338.0659536541889
LYV,76.01451042960855
MASI,28.870415982484946
MC,107.92112299465239
MGNI,158.53365384615384
MMYT,220.5847171404447
MSB,333.9558095317758
MSGS,51.43426505545703
MTLS,143.4523809523809
MTSI,25.66176470588235
NATL,88.7303203140656
NCSM,140.96968377142173
NFLX,27.471327891266274
NI,91.62634750870043
NTRA,25.719098002738807
NWL,66.12247815078004
OB,165.00000000000003
OLLI,20.225783799163377
OLO,70.11904761904762
ONON,421.9246031746031
OOMA,149.65277777777777
OPRA,151.6674901185771
OPY,49.10741108189092
ORLA,61.9047619047619
OSIS,36.42402407554345
OSPN,158.61471861471856
OSW,65.2529761904762
OWL,24.999999999999996
PAR,52.72108638833484
PAY,23.45238095238095
PAYO,45.58531746031747
PCYO,1130.7128071132943
PDEX,25.863678804855283
PDLB,91.34199134199136
PHX,1202.600174216028
PLTR,20.833333333333332
PLX,20.23809523809524
PNRG,26.085358427402976
PODD,60.445600321456496
PPIH,39.8344017094017
PRIM,26.45878628780437
PTON,43.297904040404035
PWOD,36.17155562127099
QNST,48.434426244850364
RAND,111.61338721664808
RCL,30.534932936608293
RDCM,256.6711229946524
RDVT,173.56356740658012
REPX,84.14592860695893
REVG,143.68043884220356
RH,319.84875983061096
RL,25.473985920369014
RNGR,122.48851294903926
ROIC,77.2893115823099
RSI,276.2042947691487
RVLV,59.10714285714286
SAP,23.547156241445737
SE,268.6234817813765
SELF,142.5
SFIX,21.805555555555557
SGHC,322.20562762452744
SGMO,55.09972607430235
SHOP,101.4408140878729
SLM,124.40379937919309
SMC,1388.7276343505582
SMLR,12711.775959909446
SNFCA,49.45335625052902
SNT,104.16666666666666
SOFI,114.22413793103449
SPOT,51.62237345159212
SRAD,5256.1185243963155
SRBK,33.586619992325595
SSSS,43.57149076976663
STRT,91.973039690431
STT,38.7853736825049
SUPN,3723.2938824043563
SYF,37.24332779351372
TAC,55.61016034535922
TCOM,55.70227721624519
TGI,700.1941287878788
