Symbol,EPS-Increase(%)
AENT,112.16216216216215
ATGE,65.36585365853661
AZPN,91.0179640718563
BNTC,60.977337110481585
CTLP,108595.65217391305
DAKT,393.3333333333333
EAT,49.12280701754387
ELMD,61.11111111111111
FEIM,200.0
FOX,34.334763948497844
GLAD,89.51965065502182
HPE,25.324675324675315
INTA,58.333333333333336
LRN,57.91245791245792
LSAK,51.78571428571429
MSGS,29.100529100529105
PSMT,30.571428571428577
PTON,58.51648351648351
QNST,55.46875
RCAT,23.076923076923077
RGS,1305.6603773584905
SANG,70.45454545454545
SFIX,28.666666666666664
STRT,339.4117647058824
