Date,Rolling_4Day_Percentage_32Week_Highs
2024-07-31,
2024-08-01,
2024-08-02,
2024-08-05,7.678571428571429
2024-08-06,5.0
2024-08-07,2.857142857142857
2024-08-08,1.4285714285714284
2024-08-09,0.7142857142857143
2024-08-12,0.625
2024-08-13,0.9821428571428572
2024-08-14,1.69388662938485
2024-08-15,2.583248601931876
2024-08-16,3.3830071174377228
2024-08-19,4.715302491103203
2024-08-20,5.782918149466193
2024-08-21,6.672597864768684
2024-08-22,7.117437722419929
2024-08-23,7.997021781378562
2024-08-26,9.320499230206204
2024-08-27,8.604654097574517
2024-08-28,8.77659574468085
2024-08-29,7.712765957446808
2024-08-30,5.9397163120567384
2024-09-03,6.294326241134751
2024-09-04,5.76241134751773
2024-09-05,5.141843971631205
2024-09-06,5.053191489361701
2024-09-09,4.787234042553191
2024-09-10,5.319148936170214
2024-09-11,4.964539007092199
2024-09-12,4.430118036237877
2024-09-13,4.949546664746517
2024-09-16,5.99402274106257
2024-09-17,7.044741949932812
2024-09-18,8.80281690140845
2024-09-19,10.200148257968866
2024-09-20,8.962503088707685
2024-09-23,9.48233259204349
2024-09-24,9.473684210526317
2024-09-25,7.5438596491228065
2024-09-26,9.473684210526315
2024-09-27,9.298245614035087
2024-09-30,8.24561403508772
2024-10-01,7.982456140350878
2024-10-02,5.785179732548153
2024-10-03,4.466323150533677
2024-10-04,4.3740031897926634
2024-10-07,4.637161084529506
2024-10-08,4.378297141455036
2024-10-09,4.732241442767759
2024-10-10,3.9473684210526314
2024-10-11,4.7368421052631575
2024-10-14,6.140350877192983
2024-10-15,8.070175438596491
2024-10-16,10.428475033738192
2024-10-17,10.771071034228928
2024-10-18,10.40613430215484
2024-10-21,8.119319704685559
2024-10-22,5.49602836188202
2024-10-23,3.397212543554007
2024-10-24,1.9145615563298488
2024-10-25,1.3038980836236933
2024-10-28,1.4766018195896242
2024-10-29,1.6478037293348713
2024-10-30,1.9890393615187791
2024-10-31,2.676898556921078
2024-11-01,2.673905261901921
2024-11-04,2.7586206896551726
2024-11-05,2.7586206896551726
2024-11-06,5.517241379310345
2024-11-07,7.931034482758621
2024-11-08,10.689655172413794
2024-11-11,13.349922976656002
2024-11-12,10.673954259983411
2024-11-13,8.945965161749022
2024-11-14,6.185567010309279
2024-11-15,3.0068728522336774
2024-11-18,2.5773195876288666
2024-11-19,2.0618556701030935
2024-11-20,2.143661377150699
2024-11-21,3.5065034071050754
2024-11-22,5.123558870788033
2024-11-25,8.276450511945393
2024-11-26,8.959044368600683
2024-11-27,9.300341296928329
2024-11-29,8.959044368600685
2024-12-02,6.996587030716724
2024-12-03,7.417403821596899
2024-12-04,7.665540618977968
2024-12-05,7.319019758073879
2024-12-06,7.2278911564625865
2024-12-09,6.887755102040817
2024-12-10,5.697278911564626
2024-12-11,5.6073446327683625
2024-12-12,4.669376225066299
2024-12-13,3.4783235328029525
2024-12-16,3.389830508474577
2024-12-17,2.6271186440677976
2024-12-18,2.796610169491526
2024-12-19,2.796610169491526
2024-12-20,2.711864406779662
2024-12-23,2.966101694915255
2024-12-24,2.8813559322033906
2024-12-26,3.8983050847457634
2024-12-27,3.3883989922125526
2024-12-30,3.1318712780577194
2024-12-31,3.12900824553367
2025-01-02,2.6205336692624837
2025-01-03,2.7067109482363727
2025-01-06,2.9632386623912055
2025-01-07,2.7966101694915264
2025-01-08,2.711864406779662
2025-01-10,2.7966101694915264
2025-01-13,2.372881355932204
2025-01-14,1.9491525423728822
2025-01-15,1.9491525423728822
2025-01-16,1.694915254237289
2025-01-17,2.118644067796611
2025-01-21,3.6440677966101704
2025-01-22,4.491525423728815
2025-01-23,5.16949152542373
2025-01-24,5.508474576271187
2025-01-27,4.2372881355932215
2025-01-28,3.3050847457627133
2025-01-29,2.966101694915255
2025-01-30,2.881355932203391
2025-01-31,3.4745762711864416
2025-02-03,3.4745762711864416
2025-02-04,3.4745762711864416
2025-02-05,3.2203389830508486
2025-02-06,3.0540182174564756
2025-02-07,3.821053845266922
2025-02-10,4.418597947653639
2025-02-11,3.825377608670588
2025-02-12,3.7374610861293682
2025-02-13,4.411103424420617
2025-02-14,5.254237288135594
2025-02-18,6.694915254237289
2025-02-19,7.1186440677966125
2025-02-20,6.355932203389831
2025-02-21,4.912963811268897
2025-02-24,4.062356848373799
2025-02-25,3.8891433806688056
2025-02-26,3.29391891891892
2025-02-27,3.37837837837838
2025-02-28,3.5436004186004197
2025-03-03,3.624078624078625
2025-03-04,3.958788333788335
2025-03-05,3.4511784511784525
2025-03-06,2.777777777777779
2025-03-07,2.020202020202021
2025-03-10,1.6977243701381646
