Symbol,RSI_3M
BHAC,100.0
TLGYF,100.0
PCLB,100.0
BK,100.0
UI,100.0
GTPS,100.0
EYE,99.86301369863011
HWM,99.7639034627492
ICE,99.74380871050383
SPNT,99.71098265895954
DAVE,99.58613554061044
WOR,99.411331861663
SENEB,99.40711462450591
AER,99.28057553956835
TPR,99.11406423034325
GE,99.04144347335776
NTNX,99.02464065708413
ZS,98.95470383275263
WLDN,98.81615598885793
AL,98.77955758962621
NRDBY,98.61751152073735
IRTC,98.55828983345765
FCAP,98.37745516652436
DUOL,98.24372056514915
MSTR,98.17460317460323
GWRE,98.15317762085836
SVT,98.14295725297829
ODD,97.99745708836618
RDUS,97.89343246592315
MOS,97.7203647416413
GTX,97.67441860465115
FRHC,97.65513974419704
PRA,97.57505773672052
NRG,97.53086419753086
SEZL,97.51945525291829
BBVA,97.4619289340102
SNOW,97.36780258519394
JCI,97.36174530695081
AEVA,97.07357859531773
RBLX,97.03745108999445
TPC,97.01219512195122
IDT,96.88212927756656
FTK,96.81668496158068
DBSDY,96.79658302189004
RBRK,96.76113360323886
COR,96.74335225575165
AM,96.7213114754099
ETON,96.46840148698885
JBL,96.35890767230167
AGX,96.32010640656169
LFMD,96.29629629629626
SWTX,96.27766599597588
REVG,96.19289340101518
APG,96.17058311575285
ATROB,96.15384615384623
BA,96.03681922781888
CFSB,96.01910828025477
LMB,95.89228662711092
FARO,95.88150289017341
RGC,95.84961343420068
MTEN,95.84120982986768
CLBR,95.83333333333336
PRE,95.75471698113208
DAN,95.60878243512973
ULS,95.56962025316463
GRPN,95.54655870445347
FROG,95.50359712230215
DGICB,95.48022598870047
UTI,95.45454545454547
ALMU,95.26387009472258
CTVA,95.20333680917615
KAR,95.10022271714925
GRND,95.01779359430608
LPLA,95.01352463836298
OPOF,94.91298527443102
SCHW,94.90566037735843
CMP,94.89559164733177
FORTY,94.62851405622487
NFLX,94.52336448598132
FHI,94.42934782608691
LFCBY,94.40000000000006
IBN,94.33551198257085
WWD,94.2355117139334
TPB,94.15270018621973
CNL,94.12955465587045
TW,94.11764705882345
CPS,93.9180537772087
FNMA,93.89587073608618
AXAHY,93.87129724208374
NET,93.7812567949554
PAYC,93.71268656716417
VRNA,93.70529327610869
BTSG,93.68932038834951
AS,93.66120218579233
KT,93.61702127659564
APH,93.53187529083289
IDCC,93.34269662921348
UGI,93.31103678929779
MYTAY,93.29545454545452
HIMS,93.18971507991661
CCRD,92.99820466786355
TYIDY,92.93048308365597
HCSG,92.82051282051282
CIXXF,92.79279279279264
SXT,92.57903494176368
STN,92.56550883607557
SIBN,92.55617977528088
TGI,92.52336448598116
PAY,92.50749250749251
SFM,92.47774025176538
ENLT,92.47572815533984
ODC,92.4129353233831
AKRO,92.40097008892484
ADP,92.386685552408
ESLT,92.3735149954308
ADRNY,92.34693877551027
GOGO,92.30769230769232
MCK,92.27053140096614
MA,92.13068181818186
JUNE,92.09677419354838
CHEF,92.09237228831353
LOPE,92.08937198067632
ISNPY,92.00913242009136
ATGE,91.95947402457428
HDB,91.89189189189189
DOMO,91.87499999999999
AXS,91.86560565870909
BCRX,91.82389937106919
KFS,91.78403755868548
ATRO,91.68157423971378
LBRDA,91.61836825679895
LAUR,91.5520628683693
SLNO,91.54681538009979
RGLD,91.54481881754619
CHWY,91.44811858608894
ENB,91.35618479880776
CIHKY,91.32602193419743
ONIT,91.25364431486882
FDP,91.08280254777068
CAE,90.95607235142131
SLM,90.94292803970222
ALNT,90.7488986784141
TIGO,90.67894131185272
LINC,90.67641681901283
LBRDK,90.61012548680225
TFPM,90.56047197640126
AR,90.52987598647121
ALIZY,90.29585798816575
NUTX,90.27550016398818
EVRI,90.24390243902386
