Symbol,Price_Tightness_1W
BHAC,0.0
PLYA,0.14869888475836116
EVRI,0.4249291784702459
TGI,0.5825242718446546
FARO,0.8740845735884656
RDUS,1.0455311973018508
PRA,1.243034719245603
BCOW,1.7821782178217795
FYBR,1.8264840182648396
SLF,1.877346683354197
CTVA,2.1463555171420268
MNST,2.331075759962205
LSBK,2.402597402597409
RBA,2.4164759725400464
HEES,2.446863659927423
TRV,2.5124531869250513
ICE,2.5421340397948207
GBNY,2.544357272178645
IBN,2.5514641925195782
JCI,2.5575966710646463
FUSB,2.5660377358490556
HDB,2.572390572390568
FRAF,2.587519025875198
CTAS,2.70488132557099
TRP,2.7134085957615457
NIC,2.7353177795655603
LOPE,2.811853198041291
CNP,2.858655373213336
ADP,2.864116665636791
PAYX,2.900473933649291
PAYC,2.9033485540334945
BK,3.034315348118725
UVE,3.0912476722532656
WRB,3.109368662971471
BCS,3.1302403577417675
CPBI,3.1333333333333373
BCH,3.167564143173899
ASR,3.1779661016949055
HIG,3.2099326216973347
ODC,3.2158951249487924
EHC,3.22236798950475
FHI,3.2280378141572483
KAR,3.234381922906515
AJG,3.2410631383472492
ENB,3.256621797655232
BSX,3.2598542873155325
WMB,3.295588980902489
CNM,3.3050221565731155
MO,3.3449825262106923
FTNT,3.3583864522880797
SAP,3.3587028457974775
PSO,3.419316136772647
EBAY,3.4686043323279425
BFC,3.503537635325206
UGI,3.521320495185697
GPOR,3.577038050362265
CAH,3.6307849654819786
WELL,3.688120439155883
SENEA,3.7132709073296772
AER,3.7231253277399103
AM,3.781512605042011
FAST,3.7871524448705616
IBEX,3.8131226382686343
ATO,3.842794759825343
ULS,3.8593599780249996
HURN,3.861709067188529
COR,3.8626031318403675
TPB,3.8720086044635593
MGYR,3.8828771483131836
SRBK,3.885630498533733
HWM,3.8978978978979035
RSG,3.9289092055485497
KVUE,3.940886699507393
STN,3.9585753000387047
T,4.033970276008494
KEN,4.044548651817103
CASY,4.066736183524498
FROG,4.087691253710891
GE,4.091866835229671
MUFG,4.097771387491016
ECBK,4.131736526946094
AZO,4.1636828644501325
MOS,4.171301446051167
BLX,4.193076548025368
LARK,4.198600466511168
IFS,4.20510037981551
SLM,4.212076583210603
ABT,4.215319086436059
WMT,4.233870967741938
FFIV,4.2433009574981035
SCHW,4.251530328324979
EQT,4.270524664458769
THG,4.2915690866510605
FOXA,4.330985915492947
APH,4.3338683788122
CME,4.351628362542413
GFL,4.376367614879655
